chemical_activator,source_material,fine_aggregate,coarse_aggregate,compressive_strength
0.24,1,1,0.5,14.8
0.24,1,1,1,30.3
0.24,1,1,1.5,23.1
0.24,1,1,2,22.3
0.24,1,1,2.5,18
0.24,1,1,3,17.6
0.24,1,2,0.5,11.3
0.24,1,2,1,18
0.24,1,2,1.5,15.7
0.24,1,2,2,14.1
0.24,1,2,2.5,11.8
0.24,1,2,3,5.2
0.24,1,3,0.5,8.1
0.24,1,3,1,10.8
0.24,1,3,1.5,9.4
0.24,1,3,2,8.1
0.24,1,3,2.5,6.2
0.24,1,3,3,3.3
0.32,1,1,0.5,13.08
0.32,1,1,1,23.17
0.32,1,1,1.5,20.64
0.32,1,1,2,15.74
0.32,1,1,2.5,14.3
0.32,1,1,3,15.94
0.32,1,2,0.5,15.33
0.32,1,2,1,20.14
0.32,1,2,1.5,18.61
0.32,1,2,2,15.33
0.32,1,2,2.5,15.22
0.32,1,2,3,14.1
0.32,1,3,0.5,13.35
0.32,1,3,1,17.17
0.32,1,3,1.5,14.98
0.32,1,3,2,13.45
0.32,1,3,2.5,8.26
0.32,1,3,3,4.96
0.4,1,1,0.5,9.3
0.4,1,1,1,9.9
0.4,1,1,1.5,7.7
0.4,1,1,2,7.2
0.4,1,1,2.5,5.1
0.4,1,1,3,4.8
0.4,1,2,0.5,2.9
0.4,1,2,1,6.2
